subject,cue,size,biasSigma
1,1,1,0.098325414
2,1,1,0.094306752
3,1,1,0.160633488
4,1,1,0.132156423
5,1,1,0.15851038
6,1,1,0.077369413
7,1,1,0.0732474
8,1,1,0.197101281
9,1,1,0.151682604
10,1,1,0.116787414
11,1,1,0.130777825
12,1,1,0.07626335
13,1,1,0.119959939
14,1,1,0.13844557
1,1,2,0.101163631
2,1,2,0.079243334
3,1,2,0.137481957
4,1,2,0.093321754
5,1,2,0.148387914
6,1,2,0.082158526
7,1,2,0.086215596
8,1,2,0.207793377
9,1,2,0.149294718
10,1,2,0.137421927
11,1,2,0.124749045
12,1,2,0.080200263
13,1,2,0.106156566
14,1,2,0.135086273
1,1,3,0.085800647
2,1,3,0.068753225
3,1,3,0.16067422
4,1,3,0.115457724
5,1,3,0.150928123
6,1,3,0.06814384
7,1,3,0.076345398
8,1,3,0.176299092
9,1,3,0.156098307
10,1,3,0.135566081
11,1,3,0.120557404
12,1,3,0.075576425
13,1,3,0.117185105
14,1,3,0.150632292
1,1,4,0.115943445
2,1,4,0.082833678
3,1,4,0.165881562
4,1,4,0.137274025
5,1,4,0.126771385
6,1,4,0.076950187
7,1,4,0.100262313
8,1,4,0.153749955
9,1,4,0.170920926
10,1,4,0.152180843
11,1,4,0.13105092
12,1,4,0.081813456
13,1,4,0.127773924
14,1,4,0.155928244
1,2,1,0.075181229
2,2,1,0.106065994
3,2,1,0.169021674
4,2,1,0.165192771
5,2,1,0.190482582
6,2,1,0.092792873
7,2,1,0.110537928
8,2,1,0.216011781
9,2,1,0.119573034
10,2,1,0.20347341
11,2,1,0.146028392
12,2,1,0.090069354
13,2,1,0.10299137
14,2,1,0.096882409
1,2,2,0.076155038
2,2,2,0.090903147
3,2,2,0.188904284
4,2,2,0.19997141
5,2,2,0.192766395
6,2,2,0.091422775
7,2,2,0.100134775
8,2,2,0.183646904
9,2,2,0.135396988
10,2,2,0.191511586
11,2,2,0.135919235
12,2,2,0.092905937
13,2,2,0.125993576
14,2,2,0.098107283
1,2,3,0.078585323
2,2,3,0.096652968
3,2,3,0.154351094
4,2,3,0.205263332
5,2,3,0.186145147
6,2,3,0.085749698
7,2,3,0.129023951
8,2,3,0.181092585
9,2,3,0.137683564
10,2,3,0.195232765
11,2,3,0.123346461
12,2,3,0.079470014
13,2,3,0.103227018
14,2,3,0.094179446
1,2,4,0.080447162
2,2,4,0.103654106
3,2,4,0.194044834
4,2,4,0.200276971
5,2,4,0.177649911
6,2,4,0.101039207
7,2,4,0.127026448
8,2,4,0.189777179
9,2,4,0.135438507
10,2,4,0.202600502
11,2,4,0.122852184
12,2,4,0.097590317
13,2,4,0.11359863
14,2,4,0.131441285
